Trait,Trait_Type,Meta_Group,Category,SubCategory,Description,num_samples.META,num_cases.META,num_controls.META,num_samples.AFR,num_cases.AFR,num_controls.AFR,num_samples.AMR,num_cases.AMR,num_controls.AMR,num_samples.EAS,num_cases.EAS,num_controls.EAS,num_samples.EUR,num_cases.EUR,num_controls.EUR,dbgap_cat.AFR,dbgap_cat.AMR,dbgap_cat.EAS,dbgap_cat.EUR,dbgap_cat.META,dbgap_cat.pheno
Phe_363_3,binary,AfAdE,PheCodes,Sense Organs,Chorioretinal scars,620783,10889,609894,119582,2186,117396,58872,800,58072,NA,NA,NA,442329,7903,434426,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364,binary,AfAdE,PheCodes,Sense Organs,Corneal opacity and other disorders of cornea,616976,15324,601652,118329,2722,115607,58656,1044,57612,NA,NA,NA,439991,11558,428433,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_1,binary,AfAdE,PheCodes,Sense Organs,Corneal opacity,621073,11391,609682,119909,1849,118060,58686,1158,57528,NA,NA,NA,442478,8384,434094,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_2,binary,AfE,PheCodes,Sense Organs,Corneal edema,570999,2281,568718,121517,459,121058,NA,NA,NA,NA,NA,NA,449482,1822,447660,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_4,binary,AfAdE,PheCodes,Sense Organs,Corneal degenerations,625153,4804,620349,119474,1445,118029,59257,459,58798,NA,NA,NA,446422,2900,443522,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_41,binary,AfE,PheCodes,Sense Organs,Keratoconus,573071,940,572131,121876,367,121509,NA,NA,NA,NA,NA,NA,451195,573,450622,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_5,binary,AfAdE,PheCodes,Sense Organs,Corneal dystrophy,628114,6835,621279,121391,636,120755,59685,253,59432,NA,NA,NA,447038,5946,441092,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_51,binary,AfE,PheCodes,Sense Organs,Fuchs' dystrophy,570321,3928,566393,121609,455,121154,NA,NA,NA,NA,NA,NA,448712,3473,445239,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_364_9,binary,AfE,PheCodes,Sense Organs,Cornea replaced by transplant,573113,1456,571657,121918,262,121656,NA,NA,NA,NA,NA,NA,451195,1194,450001,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_365,binary,ALL,PheCodes,Sense Organs,Glaucoma,609053,132383,476670,114920,38064,76856,56909,11570,45339,6503,1446,5057,430721,81303,349418,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_365_1,binary,ALL,PheCodes,Sense Organs,Open-angle glaucoma,612895,96166,516729,115031,30309,84722,57302,8523,48779,6529,1127,5402,434033,56207,377826,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_365_11,binary,ALL,PheCodes,Sense Organs,Primary open angle glaucoma,628741,36812,591929,118594,13552,105042,58928,2857,56071,6764,312,6452,444455,20091,424364,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_365_2,binary,AfAdE,PheCodes,Sense Organs,Primary angle-closure glaucoma,626290,10308,615982,120061,2113,117948,59265,1066,58199,NA,NA,NA,446964,7129,439835,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_366,binary,ALL,PheCodes,Sense Organs,Cataract,573868,315480,258388,107711,58665,49046,54221,23701,30520,6262,2490,3772,405674,230624,175050,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_366_1,binary,AfAdE,PheCodes,Sense Organs,Nonsenile Cataract,622806,5241,617565,120180,809,119371,59108,410,58698,NA,NA,NA,443518,4022,439496,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_366_2,binary,ALL,PheCodes,Sense Organs,Senile cataract,570717,273586,297131,106581,53129,53452,53795,20660,33135,6255,2197,4058,404086,197600,206486,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_366_3,binary,AfE,PheCodes,Sense Organs,Traumatic cataract,572013,992,571021,121563,365,121198,NA,NA,NA,NA,NA,NA,450450,627,449823,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367,binary,ALL,PheCodes,Sense Organs,Disorders of refraction and accommodation; blindness and low vision,564837,387326,177511,107336,81119,26217,52135,34537,17598,6010,3830,2180,399356,267840,131516,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367_1,binary,ALL,PheCodes,Sense Organs,Myopia,562050,96726,465324,105244,20300,84944,52116,9317,42799,5874,1535,4339,398816,65574,333242,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367_2,binary,ALL,PheCodes,Sense Organs,Astigmatism,536283,148875,387408,101062,24678,76384,50182,13020,37162,5779,1839,3940,379260,109338,269922,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367_4,binary,ALL,PheCodes,Sense Organs,Presbyopia,551270,301669,249601,103365,62465,40900,51587,24801,26786,6065,2868,3197,390253,211535,178718,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367_8,binary,ALL,PheCodes,Sense Organs,Hypermetropia,560675,99181,461494,106935,16235,90700,52824,8188,44636,6229,941,5288,394687,73817,320870,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_367_9,binary,AfAdE,PheCodes,Sense Organs,Blindness and low vision,598386,26767,571619,114740,5341,109399,56811,2186,54625,NA,NA,NA,426835,19240,407595,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368,binary,ALL,PheCodes,Sense Organs,Visual disturbances,559951,72360,487591,105495,14464,91031,52619,6526,46093,6073,704,5369,395764,50666,345098,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_1,binary,AfAdE,PheCodes,Sense Organs,Amblyopia,628069,7986,620083,121123,1038,120085,59456,581,58875,NA,NA,NA,447490,6367,441123,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_2,binary,AfAdE,PheCodes,Sense Organs,Diplopia and disorders of binocular vision,618965,12298,606667,119761,1516,118245,58659,976,57683,NA,NA,NA,440545,9806,430739,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_3,binary,AfAdE,PheCodes,Sense Organs,Anisometropia,622476,4529,617947,120372,641,119731,58935,414,58521,NA,NA,NA,443169,3474,439695,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_4,binary,AfAdE,PheCodes,Sense Organs,Visual field defects,614589,13853,600736,117024,3492,113532,58339,1201,57138,NA,NA,NA,439226,9160,430066,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_9,binary,AfAdE,PheCodes,Sense Organs,Subjective visual disturbances,603023,14670,588353,115988,2827,113161,56883,1651,55232,NA,NA,NA,430152,10192,419960,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_368_91,binary,AfE,PheCodes,Sense Organs,Psychophysical visual disturbances,571003,961,570042,121428,208,121220,NA,NA,NA,NA,NA,NA,449575,753,448822,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_369,binary,ALL,PheCodes,Sense Organs,Infection of the eye,597958,21729,576229,111668,5483,106185,55586,2161,53425,6456,211,6245,424248,13874,410374,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_369_2,binary,AfAdE,PheCodes,Sense Organs,"Eye infection, viral",626658,4342,622316,120285,881,119404,59250,362,58888,NA,NA,NA,447123,3099,444024,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_369_5,binary,AfAdE,PheCodes,Sense Organs,"Conjunctivitis, infectious",594987,15092,579895,112409,4134,108275,55864,1581,54283,NA,NA,NA,426714,9377,417337,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_370,binary,ALL,PheCodes,Sense Organs,Keratitis,615668,15147,600521,116553,3280,113273,57313,1702,55611,6457,223,6234,435345,9942,425403,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_370_1,binary,AfAdE,PheCodes,Sense Organs,Corneal ulcer,631886,2091,629795,121684,399,121285,59761,204,59557,NA,NA,NA,450441,1488,448953,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_370_2,binary,AfAdE,PheCodes,Sense Organs,Superficial keratitis,625667,2528,623139,120185,517,119668,59259,222,59037,NA,NA,NA,446223,1789,444434,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_370_3,binary,AfAdE,PheCodes,Sense Organs,Keratoconjunctivitis,617371,8187,609184,118355,1892,116463,58034,1095,56939,NA,NA,NA,440982,5200,435782,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_370_31,binary,AfAdE,PheCodes,Sense Organs,Keratoconjunctivitis sicca,619821,6610,613211,118797,1630,117167,58205,955,57250,NA,NA,NA,442819,4025,438794,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_371,binary,ALL,PheCodes,Sense Organs,Inflammation of the eye,567809,73012,494797,107542,15490,92052,53418,5972,47446,6115,681,5434,400734,50869,349865,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_371_1,binary,AfAdE,PheCodes,Sense Organs,"Uveitis, noninfectious or NOS",628001,8666,619335,120251,3411,116840,59499,743,58756,NA,NA,NA,448251,4512,443739,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_371_2,binary,ALL,PheCodes,Sense Organs,"Conjunctivitis, noninfectious",617861,15324,602537,116771,3911,112860,57478,1653,55825,6540,239,6301,437072,9521,427551,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_371_21,binary,ALL,PheCodes,Sense Organs,Allergic conjunctivitis,619374,14010,605364,117051,3646,113405,57599,1530,56069,6553,232,6321,438171,8602,429569,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_371_3,binary,ALL,PheCodes,Sense Organs,Inflammation of eyelids,577873,50122,527751,110183,8636,101547,54744,3623,51121,6253,356,5897,406693,37507,369186,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_372,binary,ALL,PheCodes,Sense Organs,Disorders of conjunctiva,610407,16861,593546,114367,4008,110359,56508,2676,53832,6436,335,6101,433096,9842,423254,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_374,binary,ALL,PheCodes,Sense Organs,Other disorders of eyelids,605714,39595,566119,116512,4518,111994,57255,3030,54225,6516,412,6104,425431,31635,393796,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_374_1,binary,AfAdE,PheCodes,Sense Organs,Ectropion or entropion,624334,8818,615516,120620,787,119833,59380,448,58932,NA,NA,NA,444334,7583,436751,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_374_2,binary,AfE,PheCodes,Sense Organs,Lagophthalmos,571373,1202,570171,121499,236,121263,NA,NA,NA,NA,NA,NA,449874,966,448908,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_374_3,binary,AfAdE,PheCodes,Sense Organs,Ptosis of eyelid,623249,14236,609013,120555,1871,118684,59178,1297,57881,NA,NA,NA,443516,11068,432448,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_374_6,binary,ALL,PheCodes,Sense Organs,Dermatochalasis,625298,16744,608554,120757,815,119942,58848,1324,57524,6719,223,6496,438974,14382,424592,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_375,binary,AfAdE,PheCodes,Sense Organs,Disorders of lacrimal system,628302,3170,625132,120884,663,120221,59533,224,59309,NA,NA,NA,447885,2283,445602,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_375_1,binary,ALL,PheCodes,Sense Organs,Dry eyes,562726,124106,438620,105791,27465,78326,52270,11160,41110,6029,1219,4810,398636,84262,314374,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_375_2,binary,AfE,PheCodes,Sense Organs,Epiphora,569779,2341,567438,121121,541,120580,NA,NA,NA,NA,NA,NA,448658,1800,446858,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_377,binary,AfAdE,PheCodes,Sense Organs,Disorders of optic nerve and visual pathways,617479,16300,601179,117952,3917,114035,58609,1136,57473,NA,NA,NA,440918,11247,429671,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_377_1,binary,AfAdE,PheCodes,Sense Organs,Optic atrophy,624447,7831,616616,119413,2374,117039,59268,535,58733,NA,NA,NA,445766,4922,440844,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_377_3,binary,AfAdE,PheCodes,Sense Organs,Optic neuritis/neuropathy,626191,6211,619980,120262,1313,118949,59343,411,58932,NA,NA,NA,446586,4487,442099,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_378,binary,AfAdE,PheCodes,Sense Organs,Strabismus and other disorders of binocular eye movements,617983,19830,598153,119677,2781,116896,58517,1793,56724,NA,NA,NA,439789,15256,424533,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_378_1,binary,AfAdE,PheCodes,Sense Organs,Strabismus (not specified as paralytic),621740,13036,608704,120367,1809,118558,58882,954,57928,NA,NA,NA,442491,10273,432218,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_378_5,binary,AfAdE,PheCodes,Sense Organs,Paralytic strabismus,631213,3341,627872,121627,506,121121,59741,443,59298,NA,NA,NA,449845,2392,447453,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379,binary,ALL,PheCodes,Sense Organs,Other disorders of eye,574951,81339,493612,110157,13328,96829,54399,6287,48112,6280,725,5555,404115,60999,343116,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_1,binary,AfE,PheCodes,Sense Organs,Scleritis and episcleritis,571820,1815,570005,121397,732,120665,NA,NA,NA,NA,NA,NA,450423,1083,449340,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_2,binary,ALL,PheCodes,Sense Organs,Disorders of vitreous body,590471,59489,530982,113853,9003,104850,55746,4495,51251,6397,529,5868,414475,45462,369013,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_3,binary,AfAdE,PheCodes,Sense Organs,Aphakia and other disorders of lens,620721,9658,611063,120483,1365,119118,58933,869,58064,NA,NA,NA,441305,7424,433881,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_4,binary,AfAdE,PheCodes,Sense Organs,Anomalies of pupillary function,629047,2514,626533,121226,395,120831,59574,235,59339,NA,NA,NA,448247,1884,446363,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_5,binary,AfAdE,PheCodes,Sense Organs,Disorders of iris and ciliary body,625298,6053,619245,120408,1118,119290,59348,463,58885,NA,NA,NA,445542,4472,441070,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_379_9,binary,AfAdE,PheCodes,Sense Organs,"Pain, swelling or discharge of eye",607123,6050,601073,114874,1932,112942,57322,620,56702,NA,NA,NA,434927,3498,431429,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_380,binary,AfAdE,PheCodes,Sense Organs,Disorders of external ear,620268,4288,615980,119906,594,119312,58712,456,58256,NA,NA,NA,441650,3238,438412,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_380_1,binary,AfAdE,PheCodes,Sense Organs,Otitis externa,605028,19865,585163,117115,2777,114338,56976,2077,54899,NA,NA,NA,430937,15011,415926,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_380_4,binary,ALL,PheCodes,Sense Organs,Impacted cerumen,578145,71166,506979,111897,10972,100925,54963,5046,49917,6485,396,6089,404800,54752,350048,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_381,binary,ALL,PheCodes,Sense Organs,Otitis media and Eustachian tube disorders,593427,32537,560890,113267,5320,107947,55199,3020,52179,6529,216,6313,418432,23981,394451,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_381_1,binary,AfAdE,PheCodes,Sense Organs,Otitis media,593753,23067,570686,114441,4008,110433,55849,2232,53617,NA,NA,NA,423463,16827,406636,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_381_11,binary,AfAdE,PheCodes,Sense Organs,Suppurative and unspecified otitis media,600193,15433,584760,115543,2629,112914,56474,1551,54923,NA,NA,NA,428176,11253,416923,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_381_2,binary,AfAdE,PheCodes,Sense Organs,Eustachian tube disorders,618089,8952,609137,119572,1323,118249,58556,711,57845,NA,NA,NA,439961,6918,433043,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_382,binary,AfAdE,PheCodes,Sense Organs,Otalgia,603101,10823,592278,115804,2261,113543,56894,1113,55781,NA,NA,NA,430403,7449,422954,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_384,binary,AfAdE,PheCodes,Sense Organs,Other disorders of tympanic membrane,628472,4392,624080,121334,429,120905,59439,498,58941,NA,NA,NA,447699,3465,444234,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_384_4,binary,AfAdE,PheCodes,Sense Organs,Perforation of tympanic membrane,629858,3754,626104,121539,361,121178,59603,441,59162,NA,NA,NA,448716,2952,445764,SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_385,binary,AfE,PheCodes,Sense Organs,Other disorders of middle ear and mastoid,570789,2057,568732,121636,215,121421,NA,NA,NA,NA,NA,NA,449153,1842,447311,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_386,binary,ALL,PheCodes,Sense Organs,Vertiginous syndromes and other disorders of vestibular system,614574,22130,592444,117756,3194,114562,57191,2226,54965,6614,217,6397,433013,16493,416520,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_386_1,binary,AdE,PheCodes,Sense Organs,Meniere's disease,510058,2306,507752,NA,NA,NA,59785,232,59553,NA,NA,NA,450273,2074,448199,NA,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_386_2,binary,AfAdE,PheCodes,Sense Organs,Peripheral or central vertigo,610687,18103,592584,118190,2768,115422,57413,1863,55550,NA,NA,NA,435084,13472,421612,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_386_21,binary,AfE,PheCodes,Sense Organs,Central origin vertigo,570262,1059,569203,121387,212,121175,NA,NA,NA,NA,NA,NA,448875,847,448028,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_386_9,binary,ALL,PheCodes,Sense Organs,Dizziness and giddiness (Light-headedness and vertigo),565488,84554,480934,107047,14859,92188,52931,7560,45371,6221,583,5638,399289,61552,337737,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_388,binary,AfAdE,PheCodes,Sense Organs,Other disorders of ear,620867,3486,617381,119682,566,119116,58836,348,58488,NA,NA,NA,442349,2572,439777,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_389,binary,ALL,PheCodes,Sense Organs,Hearing loss,572412,287197,285215,107791,31058,76733,52348,23888,28460,5973,2671,3302,406300,229580,176720,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_389_1,binary,ALL,PheCodes,Sense Organs,Sensorineural hearing loss,572174,231561,340613,110618,20653,89965,53446,17253,36193,6193,1836,4357,401917,191819,210098,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_389_2,binary,AfAdE,PheCodes,Sense Organs,Conductive hearing loss,621471,8128,613343,120514,1037,119477,58922,794,58128,NA,NA,NA,442035,6297,435738,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_389_4,binary,ALL,PheCodes,Sense Organs,Tinnitus,555136,101752,453384,109651,12522,97129,51084,10292,40792,5847,1337,4510,388554,77601,310953,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_394,binary,AfAdE,PheCodes,Circulatory System,Rheumatic disease of the heart valves,616202,7217,608985,118726,1230,117496,58881,404,58477,NA,NA,NA,438595,5583,433012,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_394_1,binary,AfE,PheCodes,Circulatory System,Mitral valve stenosis and aortic valve stenosis,568027,1896,566131,121108,283,120825,NA,NA,NA,NA,NA,NA,446919,1613,445306,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_394_7,binary,AfE,PheCodes,Circulatory System,Disease of tricuspid valve,565381,1706,563675,120252,353,119899,NA,NA,NA,NA,NA,NA,445129,1353,443776,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_395,binary,ALL,PheCodes,Circulatory System,Heart valve disorders,607574,40230,567344,116021,5334,110687,57830,2218,55612,6684,220,6464,427039,32458,394581,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_395_1,binary,AfAdE,PheCodes,Circulatory System,Nonrheumatic mitral valve disorders,612611,15443,597168,118056,2682,115374,58629,789,57840,NA,NA,NA,435926,11972,423954,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_395_2,binary,AfAdE,PheCodes,Circulatory System,Nonrheumatic aortic valve disorders,617240,23832,593408,119594,2397,117197,58933,1358,57575,NA,NA,NA,438713,20077,418636,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_395_3,binary,AfE,PheCodes,Circulatory System,Nonrheumatic tricuspid valve disorders,564434,2115,562319,120144,421,119723,NA,NA,NA,NA,NA,NA,444290,1694,442596,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Phe_395_6,binary,AfAdE,PheCodes,Circulatory System,Heart valve replaced,630045,10558,619487,121587,931,120656,59745,649,59096,NA,NA,NA,448713,8978,439735,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
